orig_index,review,sentiment
22940,"Where to begin? This film is very entertaining if you are new to the wonderful game of rugby, however, if you live outside the US and do follow the game, it is laughable. Various rugby traditions such as the ""Haka"" which is preformed by the New Zealand ""All Blacks"" and only by the All Blacks. The leader of the Haka is usually the member of the team with the best Maori pedigree. This is one of the most important conventions of the modern game and has been misused and represented by the writer. The film itself is quite well directed however it is the poor script and over-all execution that lets it down, heavily. Taking into account is is based on a real story, it does posses a great deal of clickés in the storyline. I would strongly suggest that any American interested in rugby watch this film then watch what rugby actually is on Youtube because the rugby portrayed in this film has been distorted and skewed so far from what it really is.",negative
22940,"Where do I start? This movie is very entertaining if you're new to the wonderful rugby game, however, if you live outside the US and follow the game, it's ridiculous. Various rugby traditions such as the ""Haka"", which is preformed by the New Zealand ""All Blacks"" and only by the All Blacks. The leader of the Haka is usually the member of the team with the best Maori family tree. This is one of the most important conventions of modern play and has been abused and represented by the writer. The movie itself is pretty well shot, but it's the bad script and the over-all execution that leaves it down strong. Consideration is based on a real story, it has a lot of clickés in the storyline. I would strongly suggest that every American who is interested in rugby looks at this movie, then watch on YouTube what rugby actually is on YouTube, because the rugby shown in this movie has been distorted and distorted so far by what it really is.",negative
12149,"Good historical drama which is very educational and also very entertaining to people who like history. Very good acting and script. Not as sensual and sexy as it is sometimes marketed, be prepared to peek into the pioneer spirit and human ability to adjust. Very touching as well for the spiritually mature. Not for people who do not like to think.",positive
12149,"Good historical drama, which is very instructive and also very entertaining for people who like history. Very good acting and script. Don't be as sensual and sexy as it is sometimes marketed, ready to look into man's pioneering spirit and ability to adapt. Very touching also for the mentally elderly. Not for people who don't like to think.",positive
19177,"Once in a while you get amazed over how BAD a film can be, and how in the world anybody could raise money to make this kind of crap. There is absolutely No talent included in this film - from a crappy script, to a crappy story to crappy acting. Amazing.",negative
19177,"Every now and then you're amazed at how BAD can be a movie, and how in the world anyone could collect money to do such a crap. There is absolutely no talent contained in this movie - from a shitty script to a shitty story about fucking acting. Amazing.",negative
33450,"This was the greatest movie I have never seen in my life, the action was great, and i was so scared, there was a lot of gore WHICH MADE It GREAT, i would see it one, zero more times, and Paris Hilton, D*MN she fine in that movie. But anyway, i would recommend it to anybody, even kids(like me) Adults like it to. You would probably have nightmares at night though, but beside that, IT IS AWESOMe, I CANT STOP BRAGGING ABOUT IT. EVER SINE AUGEST WHEN I HEARD ABOUT IT I BRAGGED AND BRAGGED and in school i gave out flyer's saying may six house of wax see it. i got my whole school into it. But anyway, i would definitely saySEE IT may six house of wax, be there It be slayed.",positive
33450,"This was the biggest movie I've never seen in my life, the action was great, and I was so scared, there was a lot of Gore, the MADE It GREAT, I'd see it one, zero times more, and Paris Hilton, D*MN they good in this movie. But still I would recommend it to anyone, even children (like me) adults like it. They would probably have nightmares at night, but next to it, IT IS AWESOME, I CANT STOP BRAGGING ABOUT IT. EVERY HIS AUGEST, when I heard that I had brooded and brooded, and at school I gave out flyers saying that six house wax could see it. I took my whole school with me. But anyway, I would definitely say SEE it can be six house of wax as it will be killed.",positive
38968,"When I first saw this movie,I also expected ""our boys"" to be cute, and more like an extended version of the TV show. I did't ""get it"" back then. But, years later, at a party YEARS later, at a seventys' type PAR-TAY, where certain substances had been smoked, inhaled, and with plenty of tequila,""HEAD"" was on late at night. We watched it, and finally realized what ""HEAD"" was all about. It spoofed their own show, as shown in one song that called themselves,""a manufactured image"". As Davy Jones wrote in this autobio,""They Made a Monkey out of me"", he openly admits that everyone in the film, had been up all night smoking weed. They made fun of themselves, society, everything! Great film! Tho, as a fifty-two tyr old granny,I no longer ""induldge"", I STILL watch this film when I want a good LOL!!!",positive
38968,"When I first saw this movie, I also expected ""our guys"" to be cute, and more like an extended version of the TV show. I didn't get it back then. But years later, at a party years later, at a 70's type PAR-TAY, where certain substances smoked, inhaled and with a lot of tequila ""HEAD"" was late at night. We looked at it and finally noticed what ""HEAD"" was about. It spoofed her own show, as shown in a song that called itself ""a made image"". Davy Jones wrote in this autobio ""They Made a Monkey out of me"", he openly admits that everyone in the movie had smoked weeds all night. They made fun of themselves, society, everything! Great movie! Tho, as fifty-two tyr old Grandma, I no longer ""allow"", I will see this movie when I get a good LOL!! - No, no, no, no, no, no, no, no, no, no.",positive
