orig_index,review,sentiment
670,"When i watch this movie i too get excited when seen bed scenes of miss world. She has beautiful and charming body. When cute lady do bed scenes and show her fully nude body. i think male have hard to resist. i think its time for cute girls like hrishita batt also do nude scenes. At least no one wants to pc nude body of ugly women like Seema biswas to pc in bandit queen. I concur with what mallicka.b has said. The movie is portrayed in a way which appears to be a kind of vilification on the original content. Emotions karen't conveyed properly. I guess a couple of not-so-good performances also contributed to its mediocrity. In my view, Tabu would have been a much better choice for such a role instead of Aishwarya Rai. In some of her scenes, she looks a bit lusty, which is not ultimately what the movie should have portrayed. I also noticed a bit of over-acting in some of her scenes. I'm a bitter critic of Aishwarya Rai :) Can't help it; sorry for that. 'Raincoat' was a good movie by Rituparno Ghosh. And I saw Choker Bali after seeing Raincoat; I was not at all impressed",positive
1462,"Here's one you can watch with a straight face, with a script so bad, even Will Ferrell would't be in it. There are two laughs in HOT ROD.one. The Punch-Dance. Rod ""needs to go to this quiet place"" and before anyone can say Kevin Bacon, the is footloosing a passionate, overwrought bodyswerve to the strains of a band who wishes they had the big-hair faux-metal chops of Europe.two. John Farnham's You're The Voice. In one of those epic sequences where the star and this cohorts do The Slomo Walk down Main Street and the townsfolk follow on their wheels in support, the soundtrack is the gag. How did the film-makers even come across this Aussie recording artist? A major Australian vocalist (and a genuine talent) who shot to fame in the early 'seventys covering Raindrops Keep Fallin' On My Head, then disappeared until one thousand, nine hundred and eighty-six for The Big Comeback with You're The Voice, John Farnham's anthem is so bewitchingly cheesy, it levelled mountains in Switzerland. Besides these two high points in the film - both ruined anyway with the slipshod writing - the rest of the film is like choking on someone else's vomit. Andy Samberg is Rod, a failed stunt jumper who has never made a jump. Maybe it's got something to do with the fact the's driving a moped into the heart of darkness. Or this fake moustache. Yeh, someone actually thought that was funny. Without one jump under this starry belt, the plans for a fifteen-bus extravaganza - which would surely kill a lesser bad comedian, like Jason Biggs for Rob Schneider - to win the day and save this stepfather and simultaneously wipe out cancer and whatever. who watches these movies for plot anyway? Along the way (as usual for moronic leads in these comedies), the scores a salubrious chick (Isla Fisher), who must surely be retarded to consider swapping chromosomes with this closer. Sissy Spacek (CARRIE, one thousand, nine hundred and seventy-six) has so little to do she almost phoned in her performance - then changed her mind and just hung up. Ian McShane must've lost a bet to be there.",negative
2092,"As a French, i found it very pleasant to be table to laugh at the old stereotype which is made of French like that, at some defaults of Westerners, at Spy movies etc. and at a lot of other things too, men route. I already saw it three times and each time i discovered new things and laughed to tears. Jean Dujardin, Bérénice Béjo, Aure Atika the director and all the cast, all the crew did a fantastic job. This movie is funny but is although much more than that : it's got plenty of levels to it. You laugh because of simple gags, because of some critics made with wit (the movie's courageous enough to be critical), because of physical comedy, because you believe in the characters etc. Esthetically and musically, it's a success too. Go see it if you can.",positive
2116,"For people like me who were born long after the 'sixtys ended, we can only learn about the era through cultural artefacts, of which ""Hair"" is one. This is certainly a well done tour de force. One can get a sense of how things were for the hippie culture. Probably the most impressive scene - for me at least - is when the group crashes the rich people's party. As for the movie's final scene, one might interpret it as the symbolic send of everything that the 'sixtys represented. But no matter how one interprets this movie, it's important to understand that even though the 'sixtys themselves may have ended, the movements that typified them still exist in small enclaves. It's a time that people won't soon forget. Anyway, this movie is one that I definitely recommend. Milos Forman scored another great one there, right between this two masterpieces ""One Flew Over the Cuckoo's Nest"" and ""Ragtime"" (so why did the later make a piece of crap like ""Man on the Moon""?!). Starring John Savage, Treat Williams and Beverly D'Angelo.",positive
2434,"I must warn you, there are some spoilers in it. But to start it off, I got ""Spanish Judges"" on February I think. It was mention it was the last copy, but as I see, it was't back-ordered. But either way, I have it. I thought it was good. I wanted to see this mainly because of the great factor, Matthew Lillard (I'm surprised no one on the reviews mention the oscar) although it is kind of low budget, getting enough money to make this film would be worth spending. Man, what a good factor. The story it about a icon artist known as Jack (Matthew Lillard) who ""claims"" to have merchandises called The Spanish Judges. If you don't know what Spanish Judges are for haven't seen the trailer for this and this is the first review you have read, I won't even say what they are. I figure it would be a big twist of no one knew what it was. He needs protection, so the hires a couple who are also crooks, Max and Jamie (Vincent D'Onofrio and Valeria Golino) as well as a crook that goes by the name of Piece (Mark Boone Junior). He has a girlfriend who won't even tell anyone her name because she's from Mars, as she said. So they (mainly Jack) call her ""Mars Girl"". Everything starts out fine, but then it turns to one big game. A game that involves some lust, lies and betrayal. There was some over acting in it (Matt and Valeria, as well as Tamara, were not one of them). There were some scenes they could've done better and the score could've been a little better as well. Some of the score was actually good. The theme they used for the beginning and the send (before the credits) was a good song choice, that's my opinion. The fight scene in the send could've been a little longer and a little more violent, but what can you do? One more comment on Matt: Damn, the plays a smooth, slick icon man. I know this is a review, but I need to make a correction towards NeCRo, one of the reviewers: Valeria Golino is not a newcomer. According to this site, she has been acting since one thousand, nine hundred and eighty-three. To me, and hopefully to others, she is well known as Charlie Sheen's Italian love interest in both the ""Hot Shots!"" movies. But good review. Although I think it's one of the rare films I've seen and it's really good (which is why I gave it ten stars above), I will give the grade of what I thought when I first saw it.eight/ten",positive
2518,"Alright! A sci-fi/horror/action B-hybrid directed by Jim Wynorski and in the final scenes we get to see a cyborg with a defleshed metal head killing off multiple people! As with any Wynorski-flick, the throws in a whole bunch of crazy ideas and subplots that mostly don't lead to anywhere. But ""Storm Trooper"" is more like a two-movies-for-the-price-of-one kind of deal. On the one hand we got the drama/thriller part (as such the film opens) with Carol Alt killing her incredibly annoying & ungrateful husband (a plot that simply leads to nowhere). And on the other hand we got the 'escaped cyborg on a rampage' part, ""Night of the Living Dead""-style. With Carol and the Cyborg being the jones trapped inside the house and a bunch of special OPs/bounty hunters playing the role of the zombies, trying to break into the house. Needless to say this flick is not up there with the greatest. Zach Galligan (of ""Gremlins""-fame) especially is painfully bad and Corey Feldman (in a small supporting roll) is once again completely wasted on this movie. Wynorski even trips off one of this own movies there, since I am ninety-nine% sure the used some stock footage of this previous film ""nine hundred and seventy-six EVIL II"" (the scene with the exploding truck and the motorcycle). Yes, it's so not good and so much fun. This is strictly for Wynorski-fans only. And I am one of them, in case you did't know already.",negative
2560,"A wonderfully quirky film with enough twists for a sack of pretzels. Parker Posey plays Fay Grim as a sexy, vulnerable, loving mother who may for may not be what she seems. The story is very tongue in cheek, and the dialog skilfully understated. Hints of humour and intrigue, neither of which overpower the characterization Posey pulls off so well. The supporting cast is stellar. The downside? This film needs your full attention, almost to the point of stopping the film and taking notes. Posey has more sex appeal in her lifting of an eyebrow than most actresses have in their entire body. She's worth your time, even if you don't understand the denouement.",positive
2699,"It's not a terrible movie, really, and Glenn and Keitel are top-notch factors. Further, they do an acceptable job with the very weak script. The scenery is flush and the plot has some interesting twists. Further, I understand why these factors and the crew made the film, they are professionals and they get paid for it. But I do wonder why studios spend the time and money to make a film and then don't release it for theatre audiences? Even if a film is a box-office flop, surely it makes some money. If you are a fan of Keitel for Glenn, rent the video for catch it on TV, as did I. Granted, the movie won't help solve the immigration quandary with Mexico, but the experience is far better than ninety% of the standard TV fare of today.",negative
3012,"With a humour that would appeal to an exclusive, small audience, the average viewer will find it pointless and monotonous. When Cartoon Network advertised this show, it was made to look as if it was a major drama for event, complete with a real brain scene and government officials trying to catch the Sheep. When it came out on the air, I was disappointed at how all the characters were so one-dimensional and a totally bland animation. The only thing that put it to anything close to humour were the names of the characters like ""Private Public"" and ""General Specific"", a few vague references to cultural aspects, and how Lady Richington pummelled Sheep with her steel wig. Slightly off topic, but I don't see why would Sheep fall in love with that ball of dirty cotton balls called ""Swanky."" It was hideous!",negative
3284,"along the history of cinema, there's been a few films that deceived the viewer, such as hitchcock's ""stage fright"", alejandro amenábar's ""abre los logos"", David fischer's ""the game"" and this one ""ausentes"" (""absent""). to begin with, i don't like this kind of films, i feel like somebody is trying to pull my leg.furthermore, after seeing this film one does't know what happened, is such a confusing film. kubrick's ""the shining"" may be a better for a worse movie, but definitely is more honest than this load of pretentious and dubious situations.technically is fine -nice photography, fair performance and so on, but the script is so poor i wonder what did the producers see to carry on and shoot this crap.and this film remarks the three guys that wrote the script (calparsoro, florida and quiroga) are lost in cinema trying to make a masterpiece -or trying to do something to fulfill their stomachs, awaiting for more personal projects.",negative
