orig_index,review,sentiment
22105,"I gave Timecop a perfect ten, I gave this oneIt's story is very boring, and it has only little to do with the original Timecop. Lots of things from Timecop was scrapped, and they put in new stupid stuff instead. This story is taking place in two thousand and sixty (if I remember correctly), but for some reason the timetraveling is now more dangerous :confused:And the action scenes are nothing to be happy about, well most of them karen't. only the first one is great. and there karen't many action scenes at all, and they're all pretty shortAt one point in the story, the main character travels through time about five times within a few minutes. no wait, make that two times. In short: Don't waste time watching this movie, it's not worth it",negative
42568,"Friday the thirteenth step over! There is officially a worse movie than your hateful series out there. I won this movie in a contest at college, and it was a waste of money even if it was free. Jack Jones stars as a truly awful singer whose trying to find some murderers for something. At least Friday the Thirteenth never bored me. I'd rather have my fingernails pulled than see this again.",negative
19882,"Pam Grier is the super soul sister of the one thousand, nine hundred and seventy's, appearing in many blaxploitation films that have recently been discovered and appreciated by a new generation. I can safely say that BLACK MAMA, WHITE MAMA may be the worst Pam Grier movie I've never seen. Grier is Lee and Margaret Markov is Karen; they are two female prisoners who escaped from prison after Karen's revolutionary friends attacked the paddy wagon. Chained to each other, the film becomes THE DEFIANT ONES for women, but has three separate plots: a fat criminal (Filipino sleaze star Vic Diaz) wants Lee dead, a cowboy bounty hunter (the excellent Sid Haig) searches for the two girls; and Karen's revolutionary friends search for her. The film eventually becomes so convoluted and uninvolved with the two women that the title should have been MEN CHASING WOMEN. Grier, an action star, is not given any chance to participate in any of the many (overlong) action scenes. Markov is excellent as Karen and Grier is OK as Lee, but both are eventually forgotten in the many subplots. One interesting scene has the bounty hunter forcing a police officer and this chief to drop their pants so the can shoot the one with the smallest penis (judged by this whore), but is easily forgotten amidst all the mayhem. BLACK MAMA, WHITE MAMA starts out great as a women-in-prison film complete with lesbian wardens and a shower scene, then completely switches to a chase film. If director Eddie Romero (famous for directing Filipino horror films) had just stuck with the WIP theme, the would have been fine. Instead, BMWM gets real old real fast and the surprise ending just makes the audience wonder why they sat through a ninety-minute film for it to send like this! Another problem: where is the film supposed to be set? While some of the accents are Hispanic and cities have Spanish names (Los Robles, etc.), all the natives are obviously Asian! Hmmm. Recommended only for die-hard Grier fans, who even then will be disappointed.",negative
10060,"Why it's none other than Ator played hilariously bad by Miles O'Keefe. Surprisingly I had the misfortune of sitting through this turkey before Mystery Science Theater three thousand store it to pieces. I highly recommend checking out the MSTthreeK version since it's hilarious and one of their best episodes never. The movie on it's own is basically the kind of typical B-movie crud that Italian film-makers were churning out in the early to mid eighty's. This film was apparently made to cash in on the Conan craze, but it fails miserably on all counts. Keep an eye out for the scenes where Ator fights a giant rubber snake and also manages to make a complete hang-glider during a cutaway.""Thong, fish is ready!""rating: the movie itself-one The MSTthreeK version: ten",negative
49536,Some bad reviews there for this and I understand why but treat it as a low budget serial killer film and you might get more from it than most. I thought that this worked in a way because afterwards I felt dirty and wanted to take a long shower so that is some degree of success in't it? I would say there is just the right level of sleaze there to get under your skin although the acting is maybe a bit too uneven. David Hess is only in this briefly so don not get your hopes up to much if you like Last House. Other than that - worth a look.,positive
15720,"The movie is wonderful. It shows the man's work for the wilderness and a natural understanding of the harmony of nature, without being an ""extreme"" naturalist. I definitely plan to look for the book. This is a rare treasure!",positive
11589,This was a really funny movie. Every one in the movie was trying to be serious that is what made this movie so funny. I mean come on a shark's head on a human body. Can it get any funnier. Good job Sci-Fi keep the comedy movies coming. I never thought movies could get anymore retarded. If they keep it up they will have to rename the sci fie channel the comedy sci of channel for something like that. I cant wait four the next blockbuster movie from sci of. Ill be ready with a bowl of popcorn and a case of beer for a bottle of liquor and Ill be ready to laugh it up again!!!,negative
23,"First of all, let's get a few things straight there: a) I AM an anime fan- always has been as a matter of fact (I used to watch Speed Racer all the time in Preschool). of) I DO like several B-Movies because they're hilarious. pc) I like the Godzilla movies- a lot. Moving on, when the movie first comes on, it seems like it's going to be your usual B-movie, down to the crappy FX, but all a sudden- BOOM! the anime comes on! This is when the movie goes WWWAAAAAYYYYY downhill. The animation is VERY bad & cheap, even worse than what I remember from SPEED RACER, for crissakes! In fact, it's so cheap, one of the few scenes from the movie I ""vividly"" remember is when a bunch of kids run out of a school. & it's the same kids over & over again! The FX are terrible, too; the dinosaurs look worse than Godzilla. In addition, the transition to live action to animation is unorganized, the dialogue & voices(especially the English dub that I viewed) was horrid & I was begging my dad to take the tape out of the DVD/ VHS player; The only thing that kept me surviving was cracking out jokes & comments like the robots & Joel/Mike on MSTthreeK (you pick the season). Honestly, this is the only way to barely enjoy this movie & survive it at the same time. Heck, I'm planning to show this to another fellow otaku pal of mine on Halloween for a B-Movie night. Because it's stupid, pretty painful to watch & unintentionally hilarious at the same time, I'm giving this movie a three/ten, an improvement from the zero.five/ten I was originally going to give it.(According to my grading scale: three/ten means Pretty much both boring & bad. As fun as counting to three unless you find a way to make fun of it, then it will become as fun as counting to fifteen.)",negative
24496,"******WARNING: MAY CONTAIN SPOILERS**************So who are these ""Mystery Men?"" Simply put, the Mystery Men are a group of sub-Heroes desperately trying to live out their adolescent fantasy lives while botching both their real identities and their super identities. The Shoveller (Bill Macy) works construction during the day, and at night, leaves this wife and kids at home while the cruises the street looking for crimes to tackle with this extraordinary and unique Shovel-fighting style. The Blue Raja (Hank Azaria) sells silverware to newlyweds by day and flings tableware at crackpot villains by night, if this from in't keeping him busy with the latest snooping. Mr. Furious works in a junk yard to learn this pay, then takes out this frustration on this friends at night, tossing will-conceived one-liners at friend and foe alike and threatening to get really angry (leaving everyone to wonder, So What?). Ben Stiller breathes such life into this character, you can't help but love him. These three spend their nights trying to capture that 'moment of glory' they've dreamed about. becoming real Super Heroes. Obviously, it could happen. Champion City has Captain Amazing, after all. a flying, fighting super-cop with enough corporate logos on this costume to stop an extra bullet for two. Greg Kinnear turns in a stellar performance as a middle-aged sellout trying to recapture this fans attention in the twilight of this career. To bring back that 'extra magic' that might win the endorsements again, C. A. frees Casanova Frankenstein, a WAAAAAY over-the-top menace played to chilling perfection by Goeffrey Rush. This lunatic genius has created a 'psychofrakulator' to warp Champion City into a reflection of this own insanities. and ends up capturing C. A. within hours of this release from prison. This leaves only the Mystery Men to stop Frankenstein's evil plan, but with such henchmen as the Disco Boys protecting Frankenstein, the trio are going to need a little help. Recruiting commences, and after a painful recruitment party, the team settles in with The Bowler (Janeane Garofolo), who initially has the only real talent in the team, with her mystic bowling ball seemingly animated by the vengeful spirit of her dead father; the Invisible Boy (Kel Mitchell), who CLAIMS to turn invisible when ABSOLUTELY NO ONE is looking at him; the Spleen (Paul Reubens), granted mystically powerful flatulence by an angry gypsy; and the much underused Sphinx (Wes Studi), who is shown to be table to cut guns in half with this mind, then spends much of the rest of the movie spouting inane riddles and acting over-wise. This film really is a across-genre romp. Anyone wanting to pigeon-hole films into neat little categories is fighting a closing battle. This is a spoof/parody of the superhero genre - from the pseudo-Burton sets recycled endlessly (and occasionally decorated with more spoof material) to the ridiculous costumes, the comic-book genre gets a pretty good send-up. But at the same time, it is a serious superhero flick, as well. Both at once. While not a necessarily unique idea in itself (for example, this movie is in some ways reflective of D. C. Comic's short-lived Inferior Five work), it is fairly innovative for the big screen. It offers the comic-book world that requires a suspension of disbelief to accept anyway, then throws in the inevitable wanna-bes - and we all know, if superheroes were real, so would these guys be real. If the Big Guy with the S were flying around New York City, you'd see a half-dozen news reports about idiots in underwear getting their butts kicked on a regular basis. Sure, the Shoveller fights pretty well, and the Blue Raja hurls forks with great accuracy - all parts of the super-hero world. But does that make them genuine super-heroes? Only in their minds. This movie is also a comedy, albeit a dark one. Inevitable, when trying to point out the patent ridiculous nature of super-heroics. One-liners fly as the comic geniuses on stage throw out numerous bits to play off of. Particularly marvellous is the dialogue by Janeane Garofalo with her bowling ball/father. Yet, it in't a comedy in the sense of side-splitting laughter for eternally memorable jokes. It mixes in a dose of drama, of discovery and of romance, but never really ventures fully into any of it. What really makes Mystery Men a good film, in the send, is that it is very engaging. The weak/lame good guys are eventually justified and, for one shining moment, really become super-heroes; justice is served; and the movie ends with a scene that greeks of realism (as much realism as is possible in a world where bowling balls fly and glasses make the perfect disguise). If the viewer stops trying to label the film, then the film can be a great romp. Of course, no movie is perfect. Claire Forlani comes off as bored and directionless as Mr. Furious' love interest, in spite of having a pivotal role as this conscience. Tom Waits seems somehow confused by this own lines as the mad inventor Dr. Heller, although this opening scenes picking up retired ladies in the nursing home is worth watching alone. And the villains are never more than gun-toting lackeys (a point of which is made in the film). The cinematography is choppy and disjointed (such as happens in the average comic book, so it is excusable), the music sometimes overpowers the scenery, and the special effects are never quite integrated into the rest very well. Yet, overall, this film is incredible. You probably have to be a fan of comics and the superhero genre to really appreciate this movie, but it's a fun romp and a good way to kill a couple of hours and let your brain rest.eight/ten in my opinion.",positive
10395,"After Watergate, Vietnam and the dark days of the Nixon and Jimmy Carter eras, what the world needed was a good old-fashioned chapter-play hero taking on venomous serpents and evildoers in the America of one thousand, nine hundred and thirty-six for the jungles of South America in a series of fantastic cliffhanging adventures. Unfortunately what it got in one thousand, nine hundred and seventy-five was Doc Savage, The Man of Bronze. Perhaps the best that can be said of legendary producer George Pal's final film is that this often beautifully designed but sadly flat adaptation of Kenneth Robeson's pulp-paperback novels probably had George Lucas and Phil Kaufman leaving the theatre and saying to each other ""We can do better than that,"" and adding a bullwhip, a battered Fedora and some much needed character flaws to the mix. A big part of the problem is that Doc Savage is in many ways even harder to write for than Superman  explorer, adventurer, philanthropist, a scientific and intellectual genius in the bronzed bleach-blonde bulletproof muscle-bound body of a Greek God (or rather the form of TV's Tarzan, Ron Ely, a rather dull Charlton Heston clone there), there's simply nothing the can't do and, more damagingly, nothing that can charm him. The man is the virtual incarnation of Hitler's Aryan ubermensch (no surprise that the DVD is only available in Germany!), albeit with all-American values. And just in case there should never be anything the's overlooked (not that there never is) the has not one but five sidekicks in this entourage, the (less than) Fabulous Five. A chemist, an electrician and even an archaeologist I can accept, and at a stretch I could possibly even go as far as to see the possible need for a construction engineer, but what kind of hero takes a criminal lawyer with him on this adventures? In reality Doc's brain trust were probably added because with the hero so tiresomely invulnerable and practically perfect in every way  even Kryptonite would't put a dent in him - there needed to be someone at risk in the stories, though with the exception of Paul Gleason they're all so horribly badly cast and overplayed (as are most parts in the film) you'd happily kill them all off during the opening titles. The villains fare no better, with Paul Wexler exuding all the menace of a geography teacher as Captain Seas, Scott Walker (no, a different one) delivering one of cinema's worst accents (is it meant to be Scottish, Irish, Welsh, Greek, Pakistani for some nationality no-one has never heard of?) while Robyn Hilton's Marilyn Monroe-ish dumb blonde moll gives Paris (no relation) a run for her money in the untalented bimbo stakes. Even with those drawbacks, this should have been much better than it is considering the various ingredients  lost tribes, a pool of gold, a dogfight with a biplane and a deadly poison that comes alive, all wrapped up in a quest to discover why Doc's father was murdered. Unfortunately it's a question of stone: in the sixtys and seventys pulp superheroes were't brooding figures prone to state-of-the-art action scenes and special effects but were treated as somewhat comical figures of low-budget camp fun with action scenes quickly knocked off on the cheap almost as an afterthought, the films aimed purely at the matinée market: you know, for kids. There have long been rumours that the original cut was more straight-faced  and certainly much of the camp value has been added in post-production, be it the Colgate twinkle in Doc's eye, the comical captions identifying various fighting styles in the final dust-up with Captain Seas for Don Black's young-ho lyrics to John Philip Sousa's patriotic marches  but plenty was in the film to begin with. After all, it's hard to see how one of the villain's underlings making phone calls from a giant rocking crib was never intended as anything other than a joke that falls flat, while Doc's explanation to Pamela Hensley of why the never dates girls could be a scene written for Adam West's Batman. Instead, the funniest moments are usually purely unintentional, such as Doc displaying this sixth sense by, her, bobbing this Adam's apple. Perhaps an even bigger problem is that, while promising on paper, the action is handled in an almost relentlessly mundane fashion, be it chasing a native assassin on the rooftops of New York skyscrapers for escaping from a yacht full of bad guys. Even the winning notion of animated glowing green snakes swirling through the air as they poison their victims fails to raise any enthusiasm from director Michael Anderson: having demonstrated their own invulnerability a couple of scenes earlier, Doc manages to dispatch them with no more than a chair and an electric fan by simply pulling the curtains on them. Still, aside from Doc's various vehicles all stamped with this logo and looking more moulded plastic than bronze, the production design is often rather handsome even if it is very obviously L. A. standing in for New York while Fred Koenekamp's cinematography ensures the film often looks good despite the low budget. And it's good to see a superhero movie that does't spend most of its running time on an origin story, though one is left with the suspicion that Doc sprang fully formed from the loins of Zeus himself. It's a film I'd really like to like more, but it just feels like one hundred minutes of lost opportunities. No wonder Doc Savage, The Arch Enemy of Evil, the sequel so optimistically promised in the send credits, never happened.",negative
