orig_index,review,sentiment
867,"This film is where the Batman franchise bought to have stopped. Though I will concede that the ideas behind ""Batman Forever"" were excellent and could have been easily realised by a competent director, as it turned out this was not to be the case. Apparently Warner Brothers executives were disappointed with how dark this second Batman film from Tim Burton turned out. Apart from the idiocy of expecting anything else from Burton, and the conservative cowardice of their subsequent decision to turn the franchise into an homage to the Sixties TV series, I fail to understand how ""Batman Returns"" can be considered at all disappointing. True, it is not quite the equal of the first film - though it repairs all the minor deficiencies of style found in ""Batman,"" a weaker script that splits the antagonism between not just two but three characters invites unflattering comparisons to the masterful pairing of Keaton and Jack Nicholson as the Joker in the first film. Yet for all this it remains a gorgeously dark film, true to the way the Batman was always meant to be, and highly satisfying. Michael Keaton returns as the Batman and this walter lego Bruce Wayne, tangling with nouveau price tycoon Max Schreck (Christopher Walken, named in honour of the one thousand, nine hundred and twenty German silent factor), this partner-in-crime Oswald Cobblepot, the Penguin (Danny DeVito in brilliant makeup reminiscent of Laurence Olivier's ""Richard III""), and Selina Kyle, the Catwoman (Michelle Pfeiffer), whom Wayne romances both as himself and as the Batman. The four principals turn in excellent performances, especially Walken and DeVito, while together Keaton and Pfeiffer explore the darker side of double identities. There are some intriguing concepts in this film. About the only weakness I can really point out is a certain plumpness to the script in some places, which I think is due mostly to the way this film is a four-cornered fight. There simply in't enough time to properly explore what's going on. Nevertheless, this is a damn good film. I highly recommend watching this in conjunction with the first, and then sweeping for how good the series could have been had it continued under Burton and Keaton.",positive
867,"""Batman Returns"" is a sequel to ""Batman Forever"" the film is a homage to the sixties to series. a weaker script that splits the antagonism between not just two but three characters.",positive
867,"Michael Keaton returns as the Batman and this walter lego Bruce Wayne, tangling with nouveau price tycoon Max Schreck (Christopher Walken, named in honour of the one thousand, nine hundred and twenty German silent factor), this partner-in-crime Oswald Cobblepot, the Penguin (Danny DeVito in brilliant makeup reminiscent of Laurence Olivier's ""Richard III""), and Selina Kyle, the Catwoman (Michelle Pfeiffer), whom Wayne romances both as himself and as the Batman. True, it is not quite the equal of the first film - though it repairs all the minor deficiencies of style found in ""Batman,"" a weaker script that splits the antagonism between not just two but three characters invites unflattering comparisons to the masterful pairing of Keaton and Jack Nicholson as the Joker in the first film. Apart from the idiocy of expecting anything else from Burton, and the conservative cowardice of their subsequent decision to turn the franchise into an homage to the Sixties TV series, I fail to understand how ""Batman Returns"" can be considered at all disappointing. Yet for all this it remains a gorgeously dark film, true to the way the Batman was always meant to be, and highly satisfying. The four principals turn in excellent performances, especially Walken and DeVito, while together Keaton and Pfeiffer explore the darker side of double identities. Though I will concede that the ideas behind ""Batman Forever"" were excellent and could have been easily realised by a competent director, as it turned out this was not to be the case. About the only weakness I can really point out is a certain plumpness to the script in some places, which I think is due mostly to the way this film is a four-cornered fight.",positive
867,"This film is where the Batman franchise bought to have stopped . The ideas behind ""Batman Forever"" were excellent and could have been easily realised by a competent director . Yet for all this it remains a gorgeously dark film, true to the way the Batman was always meant to be, and highly satisfying .",positive
4852,"Lame, cliched superhero action movie drivel. I had high hopes for this movie, and the genre of HK buddy cop auctioneers is one that i don't despise, but very rarely do i see a storyline as trite and ludicrous as this one was. This would have been forgivable, as it always is in these kinds of movies, when the action compensates, unfortunately, it did not. The action does carry the trademark surreality and over the top nature of HK action, but it's not very involving, obscenely gory, and in fact often completely incoherent (perhaps this is due to are-editing for american release, it does show signs in many places of patchwork). I was very disappointed.",negative
4852,"can.com's tom charity: this movie was a flame, cliched superhero action movie drivel. the action does carry the trademark surreality and over the top nature of HK action. it's not very involving, obscenely gory, and in fact often completely incoherent.",negative
4852,"The action does carry the trademark surreality and over the top nature of HK action, but it's not very involving, obscenely gory, and in fact often completely incoherent (perhaps this is due to are-editing for american release, it does show signs in many places of patchwork). This would have been forgivable, as it always is in these kinds of movies, when the action compensates, unfortunately, it did not. I had high hopes for this movie, and the genre of HK buddy cop auctioneers is one that i don't despise, but very rarely do i see a storyline as trite and ludicrous as this one was. Lame, cliched superhero action movie drivel. I was very disappointed.",negative
4852,"The action does carry the trademark surreality and over the top nature of HK action, but it's not very involving, obscenely gory, and in fact often incoherent . Lame, cliched superhero action movie drivel .",negative
6680,"""Freddy's Dead"" did the smartest thing it could've done after the disappointment of the fifth film. It started from scratch. Sure, this ""final"" film in the saga is silly but at least it's original. Some of the visuals are even a bit breath-taking. And the story of Freddy's kid (Lisa Zane) returning to town to face her evil father is unique. Overall, the movie is nothing but another cartoon made to get kids in the theatre. It has a bunch of good factors (Zane, Yaphet Kotto, and Lezlie Deane) who basically look dumb and wander around like sheep ready for slaughter. It's one-sided, it's a magic-trick, and, in the send, it's nothing but goofy, childish entertainment.",negative
6680,"""Freddy's Dead"" started from scratch. the story of Freddy's kid returning to town to face her evil father is unique. overall, the movie is nothing but another cartoon made to get kids in the theatre.",negative
6680,"""Freddy's Dead"" did the smartest thing it could've done after the disappointment of the fifth film . Some of the visuals are even a bit breath-taking, and the story of Freddy's kid (Lisa Zane) returning to town to face her evil father is unique . Overall the movie is nothing but another cartoon made to get kids in the theatre .",negative
6680,"It's one-sided, it's a magic-trick, and, in the send, it's nothing but goofy, childish entertainment. It has a bunch of good factors (Zane, Yaphet Kotto, and Lezlie Deane) who basically look dumb and wander around like sheep ready for slaughter. Sure, this ""final"" film in the saga is silly but at least it's original. ""Freddy's Dead"" did the smartest thing it could've done after the disappointment of the fifth film. And the story of Freddy's kid (Lisa Zane) returning to town to face her evil father is unique. Overall, the movie is nothing but another cartoon made to get kids in the theatre. Some of the visuals are even a bit breath-taking.",negative
6713,"I've been waiting for a superhero movie like this for a long time. ""Mystery Men"" takes its place among the classic comic-strip spoofs on TV like ""Batman"" and ""Captain Nice"" and cartoons like ""Underdog"" and ""Super Chicken."" The same spirit lives in all of them: the comic tongue-in-cheek stone; the courage to aim for the heroic in life at the risk of looking ridiculous; the not-so-sure-footed way that these characters manage to prevail over their adversaries. It's the misfired spark of nobility igniting in the weak and the ordinary, and it's wonderful to see it glow so high and bright there.""Mystery Men"" opens on a party at a nursing home. I wish Kinka Usher had had the sense to give more energy and life to the old people in the scene. As it is, it looks like something George Romero might have devised. We need to get the feeling that these old people are as sharp as everyone else, for it feels patronizing. By the time the Red Eyes crash the festivities, you half expect Tom Waits who plays a weapons inventor with a penchant for ladies in their eighties to stand up and shout: ""Just what this party needs--a little excitement!"" If writer Neil Cuthbert had any sense, the would have had Waits mixing it up with the intruders and begging on the partners to do the same. It would have made for a rousing beginning, and a better introduction of the troublesome trio: the Shoveler (William Macy); the Blue Raja (Hank Azaria); and Mr. Furious (Ben Stiller), who seem to come out of nowhere to save the day. There are many other problems to ""Mystery Men"" than I care to go into; among them that the villain Casanova Frankenstein needs to have as cultivated a sense of the absurd as the rest of the people in this movie, and the does't. Geoffrey Rush is the wrong factor for the part; the needs to be way over the top to make the conflict between good and evil a galvanic one. And Rush has never exhibited a talent for the outre. You hope for the ripe theatrics of a John Lithgow in ""The Adventures of Buckaroo Banzai"" for the dry, debonair diffidence of a Paul Freeman in ""Raiders of the Lost Ark."" Instead what we get is pastiche; something half-baked and not fully realized. There are too many ideas running through ""Mystery Men"" for anyone to tie them neatly together, and that may be its deepest problem. But whatever kind of a mess it is is the kind of mess I love. Ben Stiller has always seemed to be slumming in the roles the takes. This one is no exception, but the goes at it with such conviction that you come away feeling that the'd learned something about comedy growing up in a household run by Jerry Stiller and Anne Meara. His Roy is related to all the put-upon, overly sensitive, chronically defensive types that Woody Allen made popular. And whether it's wheedling this way into the affections of the waitress at this favourite hangout (the sleek Claire Forslani), for questioning the wisdom of a fellow superhero (Wes Studi as the Sphinx), for giving a new member of their ""elite"" group (Jeaneane Garofalo in what are possibly her funniest moments on screen) a hard time, the makes it always fun to watch. I could't exactly say that about him in ""There's Something About Mary.""Jeaneane Garofalo proves with this performance that she should have been the star of ""One True Thing,"" not Renee Zellweger. I don't think I have never seen funnier exchanges between a daughter and father (okay, so the's dead and this skull is in a bowling ball, so sue me) in the movies. And the funny part about this role is that it feels like a screwball reprise of Emily Watson's spellbinding talks with God in ""Breaking the Waves."" And in this version, the girl does't die, and bells don't bring in your head. William H. Macy does something very difficult; the makes stolid magnetic. You understand right away what's attracted Jenifer Lewis' Lucille to Eddie. You can also understand her exasperation. The barbecue alone would be enough to drive me over the edge, but when Eddie's adorable, half-breed son looks up at this father and says ""I believe in you, Daddy."" to which Lucille sighs and exclaims, ""Roland, don't encourage your father,"" you feel like standing and hailing Neil Cuthbert as a first-rate wit. With Hank Azaria (whose only moment of note in film up to this point was this bare behind in ""The Birdcage"") and Louise Lasser (Has it been more than two decades since we first took note of her in ""Bananas"" and ""Mary Hartman, Mary Hartman?"") as son and mother who share a fondness for silverware; Greg Kinnear as Captain Amazing and Ricky Jay as this publicist; Kel Mitchell as ""Invisible Boy""; Paul Reubens as ""The Spleen;"" and Lena Olin who, if she did't have the few lines in this movie that she has, would seem to be visiting the set.",positive
6713,"""mystery men"" opens on a party at a nursing home. john salon: it looks like something George Romero might have devised. the says there are many problems to ""mystery men"" than the cares to go into. salon: it's a good movie, but it's not a great movie.",positive
6713,"""Mystery Men"" takes its place among the classic comic-strip spoofs on TV like ""Batman"" and ""Captain Nice"" and cartoons like ""Underdog"" and ""Super Chicken."" And whether it's wheedling this way into the affections of the waitress at this favourite hangout (the sleek Claire Forslani), for questioning the wisdom of a fellow superhero (Wes Studi as the Sphinx), for giving a new member of their ""elite"" group (Jeaneane Garofalo in what are possibly her funniest moments on screen) a hard time, the makes it always fun to watch. as son and mother who share a fondness for silverware; Greg Kinnear as Captain Amazing and Ricky Jay as this publicist; Kel Mitchell as ""Invisible Boy""; Paul Reubens as ""The Spleen;"" and Lena Olin who, if she did't have the few lines in this movie that she has, would seem to be visiting the set. With Hank Azaria (whose only moment of note in film up to this point was this bare behind in ""The Birdcage"") and Louise Lasser (Has it been more than two decades since we first took note of her in ""Bananas"" and ""Mary Hartman, Mary Hartman?"") The barbecue alone would be enough to drive me over the edge, but when Eddie's adorable, half-breed son looks up at this father and says ""I believe in you, Daddy."" to which Lucille sighs and exclaims, ""Roland, don't encourage your father,"" you feel like standing and hailing Neil Cuthbert as a first-rate wit. You hope for the ripe theatrics of a John Lithgow in ""The Adventures of Buckaroo Banzai"" for the dry, debonair diffidence of a Paul Freeman in ""Raiders of the Lost Ark.""",positive
