orig_index,review,sentiment
84,"We brought this film as a joke for a friend, and could of been your worst joke to play. The film is barely watchable, and the acting is dire. The worst child factor never used and Hasslehoff giving a substandard performance. The plot is disgraceful and at points we was so bored we was wondering what the hell was going on. It tries to be gruesome in places but is just laughable. Just terrible",negative
84,"the film is barely watchable, and the acting is dire. the plot is disgraceful and at points we was so bored we was wondering what the hell was going on.",negative
84,"We brought this film as a joke for a friend, and could of been your worst joke to play. The worst child factor never used and Hasslehoff giving a substandard performance. The film is barely watchable, and the acting is dire. The plot is disgraceful and at points we was so bored we was wondering what the hell was going on. It tries to be gruesome in places but is just laughable. Just terrible",negative
150,"A young girl becomes a war-time marine's open-pal, and when the visits at war's send expecting someone a bit more ""available,"" comic complications ensue. All ultimately works out well, naturally, but not before everyone involved has thoroughly chewed the scenery. Errol Flynn's dead-on impression of Humphrey Bogart from ""Casablanca"" is a highlight, as are various send-ups of this own swashbuckling image (the ""jumping"" scene in the kitchen with Forrest Tucker is a riot). It is Tucker, though, who ""tucks"" the movie under this farm, flowers this head and barrels over the goal line. He demonstrates the comic flair more fully developed twenty years later in ""F-Troop"" and imparts a liveliness and energy that Flynn repeatedly plays off to raise this own performance. Eleanor Parker does a fine job as the woman being pursued, and little Patti Brady charms as Tucker's actual open-pal friend. A fine, lightweight ""coming home"" comedy in a genteel setting that children and romantics of all pages should find entertaining.",positive
150,"""F-Troop"" is a fine, lightweight ""coming home"" comedy in a genteel setting. a young girl becomes a war-time marine's open-pal, and comic complications ensue. ""f-troop"" is a fine, lightweight ""coming home"" comedy in a genteel setting.",positive
150,"A young girl becomes a war-time marine's open-pal, and when the visits at war's send expecting someone a bit more ""available,"" comic complications ensue. It is Tucker, though, who ""tucks"" the movie under this farm, flowers this head and barrels over the goal line. Errol Flynn's dead-on impression of Humphrey Bogart from ""Casablanca"" is a highlight, as are various send-ups of this own swashbuckling image (the ""jumping"" scene in the kitchen with Forrest Tucker is a riot). A fine, lightweight ""coming home"" comedy in a genteel setting that children and romantics of all pages should find entertaining. All ultimately works out well, naturally, but not before everyone involved has thoroughly chewed the scenery. He demonstrates the comic flair more fully developed twenty years later in ""F-Troop"" and imparts a liveliness and energy that Flynn repeatedly plays off to raise this own performance. Eleanor Parker does a fine job as the woman being pursued, and little Patti Brady charms as Tucker's actual open-pal friend.",positive
1093,"Saw a screener of this before last year's Award season, did't really know why they gave them out after the voting had ended, but whatever, maybe for exposure, at the least, but the movie was a convoluted mess. Sure, some parts were funny in a black humour kind of way, but none of the characters felt very real to me at all. There was not one person that I could connect with, and I think that is where it failed for me. Sure, the plot is somewhat interesting and very subversive towards Scientology, WOW! What a grand idea. let's see if that already has't been mined to the point of futility. The whole ordeal feels fake, from the lighting, the casting, the screenplay to the horrible visual effects(which is supposed to be intentional, I can tell, and so can everyone else, no one is laughing with you though). Anyways, I hope it makes it out for sale on DVD at least, I would't want a project that a lot of people obviously put a lot of effort into get completely unnoticed. But it's stripe either way. Boring stripe at that.",negative
1093,"the whole ordeal feels fake, from the lighting, the casting, the screenplay to the horrible visual effects. it's stripe either way. Boring stripe at that.",negative
1093,"The whole ordeal feels fake, from the lighting, the casting, the screenplay to the horrible visual effects(which is supposed to be intentional, I can tell, and so can everyone else, no one is laughing with you though). Saw a screener of this before last year's Award season, did't really know why they gave them out after the voting had ended, but whatever, maybe for exposure, at the least, but the movie was a convoluted mess. Anyways, I hope it makes it out for sale on DVD at least, I would't want a project that a lot of people obviously put a lot of effort into get completely unnoticed. Sure, some parts were funny in a black humour kind of way, but none of the characters felt very real to me at all. Sure, the plot is somewhat interesting and very subversive towards Scientology, WOW! There was not one person that I could connect with, and I think that is where it failed for me. let's see if that already has't been mined to the point of futility.",negative
1897,"Che: Part One was a fascinating experiment, which did not only tell a very interesting story, but it also tried to do something different with the ""biopic"" genre. Che: Part Two is the excellent culmination of this experiment. This movie offers all of the same attributes from the first one, from the extraordinary performances (specially from Benicio del Toro) to Steven Soderbergh's brilliant direction, without forgetting its intention of breaking with the conventional rules from the biopics. That is what I admire from Soderbergh's experiments. they always try to do something different and unusual, and they succeed most of the times. The final message from this film is perfect, and it includes everything we have been told about Che Guervara's life. The only fail I found on Che: Part Two is that a few parts felt a bit irrelevant. In summary, I give Che: Part Two a very enthusiastic recommendation because, as the first one, it is a brave and fascinating experiment which challenges the spectator and leaves us thinking.",positive
1897,"""che: Part Two"" is the excellent culmination of this experiment. film offers all of the same attributes from the first one, writes can's tom charity. ""the only fail i found on this film is that a few parts felt a bit irrelevant""",positive
1897,"In summary, I give Che: Part Two a very enthusiastic recommendation because, as the first one, it is a brave and fascinating experiment which challenges the spectator and leaves us thinking. This movie offers all of the same attributes from the first one, from the extraordinary performances (specially from Benicio del Toro) to Steven Soderbergh's brilliant direction, without forgetting its intention of breaking with the conventional rules from the biopics. Che: Part One was a fascinating experiment, which did not only tell a very interesting story, but it also tried to do something different with the ""biopic"" genre. The final message from this film is perfect, and it includes everything we have been told about Che Guervara's life. they always try to do something different and unusual, and they succeed most of the times. The only fail I found on Che: Part Two is that a few parts felt a bit irrelevant. Che: Part Two is the excellent culmination of this experiment.",positive
