orig_index,review,sentiment
670,"When i watch this movie i too get excited when seen bed scenes of miss world. She has beautiful and charming body. When cute lady do bed scenes and show her fully nude body. i think male have hard to resist. i think its time for cute girls like hrishita batt also do nude scenes. At least no one wants to pc nude body of ugly women like Seema biswas to pc in bandit queen. I concur with what mallicka.b has said. The movie is portrayed in a way which appears to be a kind of vilification on the original content. Emotions karen't conveyed properly. I guess a couple of not-so-good performances also contributed to its mediocrity. In my view, Tabu would have been a much better choice for such a role instead of Aishwarya Rai. In some of her scenes, she looks a bit lusty, which is not ultimately what the movie should have portrayed. I also noticed a bit of over-acting in some of her scenes. I'm a bitter critic of Aishwarya Rai :) Can't help it; sorry for that. 'Raincoat' was a good movie by Rituparno Ghosh. And I saw Choker Bali after seeing Raincoat; I was not at all impressed",positive
670,"When I watched this movie, I was also happy to see the sexual situation of Miss World. She has a beautiful image and is adorable. When a lovely lady does sex shows and shows her naked body. I think it’s hard for men to resist. I think it’s time for cute girls like hrishita batt to also take nude photos. At least no one wants to take a naked pc of a bad woman like Seema biswas and take her to a robbed queen on the pc. I agree with what mallicka.b. The way the film is portrayed seems to be a islander in the original theme. Negative expression of emotions. I think some negative things have contributed to her relationship. In my opinion, compared to Aishwarya Rai, Tabu would be the best choice for such a character. In some of this shows, the seems to have a little bit of energy, which is not what the movie is supposed to be in the send. I also noticed a slight run in some of this shows. I am a big critic of Aishwarya Rai :) I can't help it; sorry. ""Raincoat"" is a good movie by Rituparno Ghosh. After seeing the raincoat, I saw Choker Bali; I had no vision at all. I think it’s time for cute girls like hrishita batt to take nude photos. At least no one wants to take a naked pc for a bad woman like Seema biswas on a robber queen on the pc. When a lovely lady performs sexual facts and shows off her naked body. When I watched the movie, I was overjoyed to see the Miss World sex scenes. I also saw a slight reduction in some of this traits. The way the film is portrayed seems to be a islander in the original theme.",positive
670,"The way the film is shown seems to be a contradiction in the original content. Other lesser-known works have led to their speculation. In some of this shows, the looks powerful, which is not what the film has to show in the send.",positive
670,"The way the film is presented seems to be gossip in the original content. Emotions are not properly conveyed. In this role, Tabu will be a better choice than Aishwarya Rai.",positive
670,"When I watch this movie I am also very happy to see the bedtime scenes that the world misses. She has a beautiful and attractive body. When a beautiful lady is the look of the bed and showed her naked body. I think boys are hard to fight. I think it’s time for beautiful girls like hrishita batt to also make nude looks. At least anyone wants to put an ugly pc naked body like Seema biswas on a pirate queen. I agree with what mallicka.b said. The film is presented in a way that looks kind of insulting about the original content. Emotions are not well correlated. I think two negative presentations also contributed to its neutrality. I think Tabu would have a better role in this role than Aishwarya Rai. In some of this scenes, it seemed a bit boring, which was’t the last the film showed. I also felt a bit overworked in some areas. I’m a bitter critic of Aishwarya Rai :) I can’t help it; I'm sorry 'Raincoat' is a good movie for Rituparno Ghosh. And I saw Choker Bali after I saw Rain; I'm not surprised at all",positive
670,"In some of its scenes, it looks sad, which is not the send of the film's show. I think it is time for beautiful women like hrishita batt to look naked too. At least no one wants to pc naked and ugly women like Seema biswas on pc the bandit queen. When a beautiful lady is the look of the bed and showed her naked body. When I watch this movie I am also super happy to see the bed scenes that the world has missed. I also saw the exceptional performance of this features. The film is presented in a way that seems a kind of insult to the original content.",positive
670,"The film is portrayed in a way that seems like a kind of insult to the original content. many less positive performances contributed to neutrality. In some of this scenes, it looks pretty sad that I finally have to show the film.",positive
670,The film is portrayed in a way that seems a kind of insult to the original content. The feeling was not conveyed correctly. Tabu has played a better role than Aishwarya Rai.,positive
670,"When I watch this movie, I also enjoy watching Miss World bed scenes. She has a beautiful and beautiful body. When a beautiful young woman sleeps with sleeping scenes and shows her full naked body. I think it's hard for a man to resist. I think now is the time to do nude scenes for beautiful girls like Harshita Beat. At least no one wants the naked body of bad women like Seema Biswas to become a PC in Dako Malaka. I agree that mallicka.b. Shown in the movie is a form of wiping the original content. Emotions are not well articulated. I think some negative sports have also played a role in its intervention. In my opinion, Tabu would be the best choice for such a role instead of Aishwarya Rai. In some of this scenes, the looks lustful, which should't be the case with the movie. I also saw more performances in some of this scenes. I am a strong critic of Aishwarya Rai :) I can't help you. I'm sorry about that. 'Raincoat' was one of the best films of Ritoparno Ghosh. And I saw the raincoat and the choker earring. I'm not impressed at all.",positive
670,"Some of this scenes look passionate, which is not the last thing that should have been shown in a movie. I think now is the time for beautiful girls like Harshita Butt to do nude scenes. At least no one wants the naked body of bad women like Seema Biswas to become a PC in Dako Malaka. When a beautiful girl sleeps with sleeping scenes and shows her full naked body. When I watch this movie, I am also happy to see the scenes of Miss World Bed. I also saw more performances in some of this scenes. Shown in the movie is a form of wiping the original content.",positive
670,"The movie is presented in a way that is a form of original content. Some negative play affected this intervention. In some of this scenes, the looks greedy, which is not what the movie should be about.",positive
670,The film is presented in a way that seems to defame the original content. Emotions are not well articulated. Tabu would have been the best choice for such a role instead of Aishwarya Rai.,positive
670,"In some of her scenes, she looks a bit lusty, which is not ultimately what the movie should have portrayed. i think its time for cute girls like hrishita batt also do nude scenes. At least no one wants to pc nude body of ugly women like Seema biswas to pc in bandit queen. When cute lady do bed scenes and show her fully nude body. When i watch this movie i too get excited when seen bed scenes of miss world. I also noticed a bit of over-acting in some of her scenes. The movie is portrayed in a way which appears to be a kind of vilification on the original content.",positive
670,"the movie is portrayed in a way which appears to be a kind of vilification on the original content. a couple of not-so-good performances contributed to its mediocrity. in some of her scenes, she looks a bit lusty which is not ultimately what the movie should have portrayed.",positive
670,The movie is portrayed in a way which appears to be a kind of vilification on the original content . Emotions karen't conveyed properly . Tabu would have been a much better choice for such a role instead of Aishwarya Rai .,positive
