orig_index,review,sentiment
867,"This film is where the Batman franchise bought to have stopped. Though I will concede that the ideas behind ""Batman Forever"" were excellent and could have been easily realised by a competent director, as it turned out this was not to be the case. Apparently Warner Brothers executives were disappointed with how dark this second Batman film from Tim Burton turned out. Apart from the idiocy of expecting anything else from Burton, and the conservative cowardice of their subsequent decision to turn the franchise into an homage to the Sixties TV series, I fail to understand how ""Batman Returns"" can be considered at all disappointing. True, it is not quite the equal of the first film - though it repairs all the minor deficiencies of style found in ""Batman,"" a weaker script that splits the antagonism between not just two but three characters invites unflattering comparisons to the masterful pairing of Keaton and Jack Nicholson as the Joker in the first film. Yet for all this it remains a gorgeously dark film, true to the way the Batman was always meant to be, and highly satisfying. Michael Keaton returns as the Batman and this walter lego Bruce Wayne, tangling with nouveau price tycoon Max Schreck (Christopher Walken, named in honour of the one thousand, nine hundred and twenty German silent factor), this partner-in-crime Oswald Cobblepot, the Penguin (Danny DeVito in brilliant makeup reminiscent of Laurence Olivier's ""Richard III""), and Selina Kyle, the Catwoman (Michelle Pfeiffer), whom Wayne romances both as himself and as the Batman. The four principals turn in excellent performances, especially Walken and DeVito, while together Keaton and Pfeiffer explore the darker side of double identities. There are some intriguing concepts in this film. About the only weakness I can really point out is a certain plumpness to the script in some places, which I think is due mostly to the way this film is a four-cornered fight. There simply in't enough time to properly explore what's going on. Nevertheless, this is a damn good film. I highly recommend watching this in conjunction with the first, and then sweeping for how good the series could have been had it continued under Burton and Keaton.",positive
867,"""Batman Returns"" is a sequel to ""Batman Forever"", this film pays homage to a series of sixtys. Weak script, split and interface not only between two characters but three.",positive
867,"Michael Keaton returns as Batman with Walter Lego Bruce Wayne, joins Novo Price Tycoon Max (named in honor of Christopher Walken, one thousand, nine hundred and twenty German silent elements), Fellow - Jeremy Oswald is dating Kobel Pot, Penguin (reminiscent of Lawrence Olivier ""Richard III"" in good makeup), and Selena Kyle, Kate Woman (Michelle Pfeiffer), dating Van Batman. Of course, it's not like the original movie - although it does fix all the minor style flaws found in ""Batman"", a weak phrase that separates the conflict between not only two but three characters that Keaton Invites unfortunate comparisons. Jack Nicholson as the Joker in the first film. Aside from the folly of expecting anything more from Burton, and the defensive cowardice of turning this subsequent commercial rights into a sixties TV series, I failed to understand how disappointing ""Batman Returns"" was. Can be seen Anyway, at least I did't go down without explaining myself first. The four principals turned out to be the best performers, especially Vulcan and DeVito, when they met with Keaton and Pfeiffer to explore the dark side of duplicate ownership. Although I will admit that the ideas behind ""Batman Forever"" were very good and the talented directors could not get it easily, because it turned out that it should not have happened. As far as I can point out just one weakness is actually the fat of some scripture in some areas, which I think is because this film is a four-box war.",positive
867,"This movie is where the purchase of Batman series has stopped. While I agree that the concept behind ""Batman Forever"" is brilliant and can easily be understood by a competent director, it seems unlikely. Clearly, Warner Bros executives are disappointed with the darkness of Tim Burton's second Batman film. Aside from the idiots who had Burton’s expectations, and the cowardly retention they later decided to turn their marketing right into an honor in the sixtys television show, I don’t know how I would handle the “Batman Returns”. Admittedly, it is not exactly the same as the original movie — although it fixes all the minor flaws in ""Batman"" style, a weak script that combines not only two characters but three characters, This has led to an unpleasant comparison of Keaton's brilliant blend of factor Jack Jackolson as the first factor. However, despite this, it is still a beautiful black film, faithful to Batman's long-term goals, and very satisfying. Michael Keaton returns to Batman and Walter Lego Bruce Wayne, starring low-cost tycoon Max Schreck (Christopher Walken, whose name pays tribute to one, nine hundred and twenty German Silent Factors), crime partner Oss Wald Cobleport, Penguin (makeup of Danny DeVito reminiscent of Lawrence Olivier ""Richard III"") and Catwoman Selena Kyle (Michelle Pfeiffer)), Wayne himself and Batman. The four principals did well, especially Walken and DeVito, while Keaton and Pfeiffer collectively explored the dark side of the two characters. There are some interesting concepts in this movie. The only weakness I can really point out is that the script is full in some places. I think this is mainly due to the way the film is a four-cornered struggle. There is not enough time to properly evaluate what is happening. However, this is a very good film. I suggest you watch it with the first one, and then understand exactly how good these series will be if they continue under the leadership of Burton and Keaton.",positive
867,"This movie is where the Batman franchise bought it to stand. Although I will admit that the ideas behind ""Batman Forever"" were very good and the talented directors could not get it easily, because it turned out that it should not have happened. Warner Bros. management is clearly disappointed with how dark Tim Mann's second Batman movie is. Other than the folly of expecting anything more from Burton, other than this subsequent horrific cowardice in turning the franchise into a tribute to the sixties TV series, I failed to understand that ""Batman Returns"" How can this be seen as frustrating? Of course it's not like the original movie - although it does fix all the minor style flaws found in ""Batman"", a weak phrase that separates the conflict between not only two but three characters that Keaton Invites the unfortunate comparison of Jack Nicholson as the Joker in the first film. However, with all of this, it's always a great black film, the way Batman always wanted to be, and very satisfying. Michael Keaton returns as Batman and Walter Lego as Bruce Wayne, new treasurer Max Co (Christopher Walken, named in honor of one hundred and ninety-two Germans) and this criminal accomplice Oswald Koblepot, Penguin (Danny DeVito). Wayne dated her as Batman, reminiscent of Lawrence Oliver ""Richard III"" and Selena Kyle, Kate Woman (Michelle Pfeiffer) with beautiful makeup. The four principals turned to the best sports, especially Vulcan and De Veto, while Keaton and Pfeiffer explored the dark side of duplicate ownership. There are some interesting ideas in this movie. The only weakness I can point out is that there is a certain amount of text in some places, which I think is the way this film is a four-way war. There is not enough time to take a closer look at what is happening. Still, it's a great movie. I highly recommend watching it together first, and then sweep to see how much better it would have been if the series had continued under Burton and Keaton.",positive
867,"This movie is where the bought the Batman franchise to stop. Although I will admit that the ideas behind “Batman Forever” are very positive and can easily be verified by a capable director, as this is not the case. Apparently the Warner Brothers directors were angry about how dark the Batman movie was with Tim Burton. Aside from the stupidity of expecting others from Burton, and the cowardly cowardice of their decision to eventually make the had a tribute to the Sixties TV series, I can’t understand how “Batman Returns” can be considered offensive. . True, it’s not the same as the first film - though it fixes all the minor stylistic flaws found in “Batman,” a weak text that separates the conflict between not just two but three factors who invites a similar negative comparison of a great combination of Keaton and Jack Nicholson as the Joker in the first film. But it will all be a dark and beautiful movie, true as Batman was always meant to be, and very enjoyable. Michael Keaton returns to Batman and walter lego Bruce Wayne, paired with billionaire nouveau Max Schreck (Christopher Walken, named in honor of Thousands, Nine Hundred and Twenty Silent Things in Germany), the guilty mag married Oswald Cobblepot, Penguin (beautiful figure of Danny DeVito in Laurence Olivier's ""Richard III""), and Selina Kyle, Catwoman (Michelle Pfeiffer), who is loved by Wayne and Batman. The four managers put on great performances, especially Walken and DeVito, while Keaton and Pfeiffer work together to explore the dark side of the dual identity. There are some interesting ideas in this film. The only weakness I can really point out is that it’s specifically written in certain areas, which I think is due to how this film is a quadruple war. There is not enough time to properly explore what is going on. However, this is a very good film. I highly recommend watching it in conjunction with the previous one, and then clear up how good the series is if it stays Burton and Keaton.",positive
867,"Michael Keaton returns as the Batman and this walter lego Bruce Wayne, tangling with nouveau price tycoon Max Schreck (Christopher Walken, named in honour of the one thousand, nine hundred and twenty German silent factor), this partner-in-crime Oswald Cobblepot, the Penguin (Danny DeVito in brilliant makeup reminiscent of Laurence Olivier's ""Richard III""), and Selina Kyle, the Catwoman (Michelle Pfeiffer), whom Wayne romances both as himself and as the Batman. True, it is not quite the equal of the first film - though it repairs all the minor deficiencies of style found in ""Batman,"" a weaker script that splits the antagonism between not just two but three characters invites unflattering comparisons to the masterful pairing of Keaton and Jack Nicholson as the Joker in the first film. Apart from the idiocy of expecting anything else from Burton, and the conservative cowardice of their subsequent decision to turn the franchise into an homage to the Sixties TV series, I fail to understand how ""Batman Returns"" can be considered at all disappointing. Yet for all this it remains a gorgeously dark film, true to the way the Batman was always meant to be, and highly satisfying. The four principals turn in excellent performances, especially Walken and DeVito, while together Keaton and Pfeiffer explore the darker side of double identities. Though I will concede that the ideas behind ""Batman Forever"" were excellent and could have been easily realised by a competent director, as it turned out this was not to be the case. About the only weakness I can really point out is a certain plumpness to the script in some places, which I think is due mostly to the way this film is a four-cornered fight.",positive
3293,"Young Mr. Lincoln is a poetic, beautiful film that captures the myth of one of the most revered figures in American history. Henry Fonda had the difficult task of portraying a mythical figure and at the same time make him human enough for people to care about. It is perhaps the factors best performance. Watch how the singlehandedly stops a lynching-mob. Alice Brady is fantastic in the role of a simple farmer woman. Most of the last part of the film plays out in a courtroom, and there lies the only negative thing I can say about this movie. Most of the characters from judge to spectators are given so many folksy humorously lines that distracts from the serious trial that is on hand. But I'm quite used to this because the humour is a Ford trademark. Supporting parts by Ward Bond and Donald Meek are very good.",positive
3293,The film draws on the fiction of one of the most respected figures in American history. Perhaps they are the most effective features. The last part goes to court and there is only one negative thing.,positive
3293,"Most of the last part of the film plays out in a courtroom, and there lies the only negative thing I can say about this movie. Most of the characters from judge to spectators are given so many folksy humorously lines that distracts from the serious trial that is on hand. Young Mr. Lincoln is a poetic, beautiful film that captures the myth of one of the most revered figures in American history. Henry Fonda had the difficult task of portraying a mythical figure and at the same time make him human enough for people to care about. Alice Brady is fantastic in the role of a simple farmer woman. But I'm quite used to this because the humour is a Ford trademark. It is perhaps the factors best performance.",positive
