orig_index	sentence	label
12611	overlong and not well-acted , but	0
12611	However, too much and not doing well.	0
12611	It's too far and it's not well done, though	0
12611	Too far, to do wrong	0
12611	Excessive and not right	0
12611	long and poorly treated	0
12611	long and bad behavior, but	0
12611	long and uncomfortable	0
12611	overlong and not well-	0
12611	Too far and too bad-	0
12611	Excessive and not doing well	0
38296	has some of the funniest jokes of any movie this year	1
38296	Funny comedy in all the movies this year	1
38296	This movie has more fun jokes than any other movie.	1
38296	This is the best comedy of any film this year.	1
38296	There are some funny jokes in all the movies this year	1
38296	The movie has the funniest joke of any movie	1
38296	The best jokes of any movie this year.	1
38296	The film has some of the funniest jokes of any movie	1
9619	even more damning --	0
9619	Even more hateful is the feeling:	0
9619	worse:	0
9619	And also discarded -	0
9619	Bigger disposal.	0
9619	Even more lost:	0
9619	More hatred	0
9619	even worse -	0
9619	Even more damning	0
62281	a grating , emaciated flick .	0
62281	Out-of-the-box movie and haggard.	0
62281	Hell	0
62281	Sweep, fat shock	0
62281	a grating , mem	0
62281	net, arrows.	0
62281	shabag, mem	0
62281	Raster	0
62281	Hell, a'am	0
62281	a grating,	0
62281	Fence,	0
62281	shabag,	0
63742	pleasing way	1
63742	a way to be happy	1
63742	Lovely way	1
63742	A fun way	1
2647	're in a slap-happy mood	1
2647	I'm excited	1
2647	We are in the state of ACC.	1
2647	In a state of happiness	1
2647	I am in a happy state	1
2647	She is happy	1
2647	happy feeling	1
2647	‘I’m in a whack-happy state	1
2647	teka a	1
2647	in a happy mood	1
2647	'in the	1
2647	I'm happy	1
2647	're in a	1
2647	'Se-a	1
2647	i'm in a happy mood	1
21971	caine makes us watch as this character awakens to the notion that to be human is eventually to have to choose .	1
21971	Kane tells us to focus on the theme of this character’s resurrection, for one to be human one must ultimately make a choice	1
21971	Ken tells us that when the character wakes up, the idea comes up that as a human being you have to make a choice in the send.	1
21971	Kane forces us to look because the character gives rise to the idea that the choice to be human is ultimately made.	1
21971	Kane makes us look at this character and realize that as a person, we ultimately have to make a choice.	1
21971	Caine tells us to watch how this character wakes up to the idea that humanity will ultimately choose	1
21971	Caine watches us as this character awakens to the idea that humanity will eventually be chosen.	1
21971	Cain tells us to look because the character wakes up to the idea that being human is the ultimate choice.	1
53881	of an already obscure demographic	0
53881	Already hidden numbers of people. of the	0
