orig_index,review,sentiment
3814,"Man pooh man! What a piece of crummy film-making! But this is a guilty pleasure from my childhood even though I hate to admit it. They showed this movie on my basic cable system all the time. Where I grew up in San Jose, California (right on the border of Cupertino) we had this thing called The G Channel on your cable system. And they basically showed the same one movie over and over and over again. Wanda Nevada was one of those movies. I fell in lust and love with the young Brooke Shields and loved her dopey adventures in the Grand Canyon in the one thousand, nine hundred and forty. The script makes almost no sense, the direction is poor, the few highlights are that Henry Fonda makes an appearance, a lot of dialog that's so bad it's good and a nice Carole King song played over the send credits. Maybe you have to be stoned to truly enjoy this flick. And they, everybody knows there main't no gold in the Grand Canyon!",negative
3814,"Fellow! What a horrible thing filmmaking is! But this is the joy of sin in my childhood, though I do not want to admit it. They continued to play this movie on my basic TV program. Where I grew up in San Jose, California (just across the Cupertino border), we have something called Channel G in your cable system. They basically show the same movie over and over again. Wanda Nevada is one of the movies. I fell in love with young Brooke Shields and fell in love with her foolish adventures in the Grand Canyon in the one thousand, nine hundred and forty's. The script is almost meaningless, the direction is very poor, a few highlights are the appearance of Henry Fonda, many conversations are very bad, very good, and there is a beautiful Carol King song playing at the send of the post. You will probably need to throw stones at it to enjoy the movie. And flo and behold, everyone knows that there is no gold in the Grand Canyon!",negative
3814,"The script is almost meaningless, the direction is bad, a few notes appear by Henry Fonda, most of the conversations are very bad, well, a good Carol King song is played on the post credits. I fell in love with young Brooke Shields and fell in love with her foolish adventures in the Grand Canyon in the one thousand, nine hundred and forty's. Where I grew up in San Jose, California (just across the Cupertino border), we have something called Channel G in your cable system. They continued to play this movie on my basic TV program. They basically show the same movie over and over again. But this is the joy of sin in my childhood, though I do not want to admit it. And flo and behold, everyone knows that there is no gold in the Grand Canyon!",negative
3814,"Nin pooh in! What a piece of filming! But it’s the pleasure of sin from my childhood even though I don’t want to admit it. They showed this movie on my main cable system all the time. Where I grew up in San Jose, California (right on the Cupertino border) we have this G Channel product in your cable system. And they usually show one of the same movies multiple times. Wanda Nevada is one of those films. I fell in love with young Brooke Shields and I liked her dopey stories in the Grand Canyon one thousand nine hundred and forty. The text is nonsensical, the direction is poor, few hints that Henry Fonda appears, a lot of bad conversation is good and a good Carole King song is put in the sender points. You may be forced rocking to enjoy this recording. For them, everyone knows that there is no gold in the Grand Canyon!",negative
8553,let me get started with a terrible storyline and an awful control system. good animation but not too good graphics. that is why I'm giving this game four of ten. THIS GAME REALLY NEEDS AN Improvement IF YOU ASK ME!!! i would remake it and make this control system better so jaws is not so damn hard to control. if i made it to improve it i would make those graphics look better than on the movie. it will drive anyone crazy when you are getting killed so freaking easy. i played this and got killed by a diver when the had one of those flick knives in two hits. the dolphins will kill you so much that the shark will be begging to go to the bottom of hell. this game sucks some fat ass. sorry about all the cussing i think I'm done now. it just that this game sucks so bad that it should be taken off the store's shelf. i dare you to play the garbage and you will probably get so mad by dining so easy so Don't PLAY IT!!!!!!!!!!!!!!!!,negative
8553,"Let me start with a bad story and a bad management system. Nice cartoons, but not very nice pictures. That’s why I played four quarters of this game. If you ask me, this game needs to improve! ! ! I will redesign and improve this control system, so that the chin is not so difficult to control. If I could improve it, I would make these images look better than movies. When easily killed, it will drive anyone. I played this game, and when the drowned struck one of the knives twice, I was killed by the drowned. Dolphins will kill you a lot, sharks will ask you to go to the bottom of hell. This game sucks. Sorry for all the curses, I think I did it now. It's just that this game is so bad that it has to be removed from the store shelf. I dare you to let me play trash games, you can get angry because you heat so easy, don't play it! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !",negative
8553,"If you ask me, this game really needs to be improved. If I could improve it, I would make these drawings look better than movies. I played this game and was killed by a dancer when the had one of those flashing blades.",negative
8553,"I'm brave enough to let you play trash games, you might get angry because you heat so much, so don't play! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! If you ask me, this game really needs to be improved! ! ! I will do it again and make this control system better, so that the chin will not be difficult to control. Let me start with a bad story and a bad management system. If I could improve it, I would make these drawings look better than movies. I played this one, and when a stranger hit one of the flickering knives twice, I was killed by a stranger. Only if this game is so bad that it has to be removed from the store shelf.",negative
8734,"Wow. I can't believe just how bad ZOMBIE DOOM (aka VIOLENT SH! T three) really is. I'd heard the rumours, read the reviews - but had to make my mind up for myself. Well, let me tell rya - IT BLOWS!!! The worst acting of any film never made, dubbing that must have been done while everyone involved was completely wasted, inept and laughable gore FX, no discernible plot, ""cinematography"" that looks like my grandma filmed it with her camcorder, weapons props that are no joke - made out of tin-foil - the list goes on and on. Three guys get stranded on an island where a bunch of weirdos run around with plastic and tin-foil swords. Two of the captives are freed along with a rebel of the island freaks, and are given a day's head start before they are hunted down by the rest of the ""tribe"". that's pretty much it. Honestly - this is one of THE WORST films I've never had the misfortune to subject myself too. The budget had to be about $two hundred and was spent entirely on the gore FX (which actually may not have been a bad idea. ). There is NOTHING to ZOMBIE DOOM other than strung-together ridiculous looking gore scenes with lots of HORRIBLY dubbed dialog. This film makes other no-budget outings like PREMUTOS: LORD OF THE LIVING DEAD look like TITANIC. Some may rank ZD in the ""so-bad-it's-good"" category - and I guess if you're REALLY drunk for high and watching it with a few friends MSTthreeK-style - I guess it could be looked at that way. But not by me. I hated pretty much everything about it. If ZOMBIE DOOM for ZOMBIE ninety (which is equally appalling and is included as a ""bonus"" on the Shock-O-Rama release of ZD) is indicative of Andreas Schnaas' other works - then the should be banned from never having anything to do with making a film never again under penalty of death. There is one amusing young-fu battle in the latter half of the film, and a lot of blood - so I'll grant this one a VERY generous three/ten - Do yourself a favor and skip this.",negative
8734,"Wow. I can't believe how bad the ZOMBIE DOOM (aka VIOLENT SH! T three) is. I’ve heard the rumours and read the comments — but I have to decide for myself. Well, let me tell you rya-exploded! ! ! The worst performance of any movie that has not been photographed, the dubbing that has to be done with all the participants is completely destroyed, the FX with improper blood and absurdity, none of which is visible, it seems my grandmother shot with her camera ""Cinema Photography"", equipment and and props are a joke made of tin-list file is endless. Three people were trapped on the island, and a group of frightened men fled around carrying plastic and swords. The two captives were released along with the rebels of the great beast on the island and received guidance one day before being hunted by other ""tribes"". That's very nice. Honestly — this is the worst movie I’ve never had the misfortune to allow myself to suffer. The budget should be about $ two hundred and fully spent on gore FX (this may not be a bad idea.). The ZOMBIE DOOM is nothing but funny bloody scenes tied up with a lot of scary conversations to say. The film also makes other budgets such as PREMUTOS: The Lord of the Living Dead looks like a Titanic. Some people might put ZD in a ""very bad, good"" category - I think you get drunk and watch MSTthreeK style with a few friends - I think you can look at it this way. But it's not me. I hate everything about it. If ZOMBIE DOOM ZOMBIE ninety (also shocking and included as a ""bonus"" in the ShoD-O-Rama release of ZD) shows some of Andreas Schnaas' works then it should be disallowed that nothing can be done. you will never be sentenced to death. In the second half of the movie there is an interesting battle of the chicks and a lot of blood was shed so I will give this person a big third / tenth favor - do me a favor and skip this.",negative
