orig_index,review,sentiment
11554,"I don't know what else to say about this horrible movie that has't already been said. Honestly I have only myself to be angry with. I should have know better when I saw the title of this movie that it would be a horrible piece of crap, but I loved War Games so I indulged my whim. I will live to regret that decision the rest of my life. From the very start when the government people explained that their super computer could determine who a terrorist was just by how well they played a video game I knew I was in for a ride though the land-that-good-writing-forgot. The list of very, very, very bad plot lines, dialog, and acting is so long I would crash IMDb if I tried to post it. To those people who said that they have seen worst movies than this one please tell me. I am actually curious to see something that could top this steaming pile of horse dung.",negative
11554,"I don’t know what else to say about this horrible movie. Honestly, I just have to be angry. When I saw the title of this movie, I would have to know more that it was going to be a scary nonsense, but I love war games, I’ve had fun. I will regret this decision for the rest of my life. From the very beginning, government officials have made it clear that those who work hard can decide who is a terrorist based on how they play video games. The list of the worst, the worst, the discussions and performances is very long, and if I try to publish it, I will affect IMDb. For those who say they have seen a film that is worse than this, please let me know. I really want to see what can be covered in this pile of horse manure.",negative
11554,"I don't know what else to say about this horrible movie that was never told. Honestly, I just want to make myself angry. I should have known better when I saw the title of this movie that this is going to be a very bad thing, but I loved war games so I made my own choice. I will live and regret this decision for the rest of my life. From the beginning when government officials explained that their best computer could determine who the terrorist was the way they played the video game I knew I would ride even though the world forgot that good writing. Is. List of building lines, bad, very bad, conversation, and making it too long. If I tried to send it to you, I could target IMDb. For those of you who say they've seen worse movies, please let me know. I would love to see more of this hot pile of horse manure.",negative
11554,"I don’t know what else to say about this ugly film that has’t been said before. I really need to be angry with myself. I wish I knew better when I saw the title of this movie that it was going to be a bad and bad piece, but I like War Games so I enjoyed my ambition. I will live to regret the decision for the rest of my life. At first when the government explained that their super computer could determine a terrorist how well they were playing a video game I knew I was on a trip even that good script - was forgotten. The list of conspiracy theories is very, very bad, dialogue, and limitation is too long I will fall into IMDb if I try to post it. Those who said they saw a worse movie than this please tell me. I was really interested to see anything on top of the smoky pile of horse manure.",negative
24430,"this is a dreadful adaption of Charles Kingsley's story. The animation is, to put it bluntly, awful. And the songs are a disgrace to film songs, especially the ""high cockororim"" song, which they keep repeating. I feel sorry for Jon Pertwee and David Jason, two of Britain's finest talents, providing the voice for the depressing animation sequence. Bernerd Cirbbins tries this best to perform in this awful production , but fails. Avoid this film at all costs, even if it is the last film on this planet!",negative
24430,"This is a bad sequel to the story of Charles Kingsley. Animation, of course, is dangerous. And these songs are a disgrace to moviegoers, especially their repeated ""cockororim"" songs. I feel sorry for these three great geniuses in the UK, Jon Pertwee and David Jason, who called them disturbing cartoon pieces. Bernerd Cirbins has tried this best at this daunting task, but to no avail. Avoid this movie at all costs, even the last movie on the planet!",negative
24430,"This is a terrible twist in the story of Charles Kingsley. Prostitution, to put it bluntly, is bad. And the songs are a disgrace to movie songs, especially the song ""High Kakorurim"", which they often repeat. I feel sorry for John Pertie and David Jason, two of the UK's greatest talents, who provide the voice for a great image setting. Bernard Sarbens tried this best to make it a bad product, but it failed. Avoid this movie in every way, even if it is the last movie on this planet!",negative
23112,"This one thousand, nine hundred and thirty-nine film tried to capitalize on the much better Michael Curtiz's film ""Angels with Dirty Faces"". As directed by Ray Enright, the only interesting thing is how tamed these kids were in comparison with what's going on with the youth in America's dinner cities today. The film is only worth seeing because of the presence of Ann Sheridan and Ronald Reagan, who showed they were well paired together. The Dead End kids have larger parts as the plot concentrates on them rather than in the older folks. In a way it's curious how carson was used in the same way some scrupulous landlords did in later years right there in New York. It was the quickest way to turn a property around never considering the social problems it created. In today's climate with so many guns around there is a new reality. The young kids of the story seemed mere pranksters rather than criminals. How times change!",positive
23112,"Of these, ninety-nine films have tried to use Michael Curtis's best film, ""Dirty Faces with Angels."" As Ray Enright points out, the only thing that excites me is that these children have been softened compared to what is happening to young people in American cities today. The film should be seen only because of the presence of Ann Sheridan and Ronald Reagan, who showed them that they are together. Dead ends are big components of children because the building focuses on them and not on adults. Somehow curiosity about how Carson was used in the same way that luxury homeowners did in New York years later. Turning to property and never considering the social problems that arise from it was a quick way. There is a new reality in today's climate with lots of guns. The little children in this story seemed to be just joking instead of criminals. How time changes!",positive
23112,"One thousand nine hundred and ninety-nine films trying to use Michael Curtis' best film ""Dirty Angel"". As directed by Ray Enright, the only thing that matters is how well these children are performing compared with the young people in the American cities of the evening. The film is worth watching because the appearances of Ann Sheridan and Ronald Reagan have proven to be good partners. Children at the send of the dead play a big part because the theme is more focused on them than on adults. In a way, it is interesting how Carson was used as a wise homeowner in New York in this later years. Never underestimate the social problems it causes, this is the fastest way to change property. In today's world with so many guns, something new has emerged. The child in the story seems to be a prank rather than a criminal. How times have changed!",positive
23112,"This film, one thousand nine hundred and thirty -nine attempted to take advantage of Michael Curtiz’s film that was better than “Angels with dirty faces”. As Ray Enright pointed out, the only thing that is interesting is how distracting these kids are compared to what’s happening to teens living in dinner cities in the United States today. The film was worth watching because of the presence of Ann Sheridan and Ronald Reagan, who showed that their marriage went well. Children in the End of Death have key components because the focus is more than on adults. In the same way it is surprising how cars have been used in the same way as some of the poorest landlords in recent years in the same New York city. This is the fastest way to open an asset without considering the social problems it creates. In today’s climate with so many guns around there is a new reality. The little kids in the story seem to be joking rather than being criminals. How time has changed!",positive
